,,,QTY,PRICE
,Raspberry Pi:,  https://www.alibaba.com/product-detail/Stock-original-Raspberry-Pi-Pico-W_1601212449258.html,1,$2.87
,0.91 OLED:, https://www.aliexpress.us/item/3256806882812437.html ,1,$2.15
,Keycaps,https://www.alibaba.com/product-detail/Rene-Genger-129-Keys-Side-Printed_1601675107935.htmll  ,1,$9.28
,Diodes,https://www.aliexpress.us/item/3256802153601411.html,1,$1.04
,Buttons: ,https://www.aliexpress.us/item/3256808426699412.html ,4,$3.01
,Stabillizers: ,https://www.aliexpress.us/item/3256807026554334.html,1,$0.99
,Capaciators: ,https://www.aliexpress.us/item/3256807473764027.html,1,$0.99
,LEDs;, https://www.aliexpress.us/item/2255801159561004.html ,1,$0.99
,Capacators: ,https://www.aliexpress.us/item/3256802104127109.html,1,$1.30
,PCB,I ORDERED FROM JLCPCB (CHEAPER THAN PCBWAY IN CALI),1,$19.10
,Plate (3D Printed),,1,N/A
,Magnets:,https://www.aliexpress.us/item/3256811570240902.htmll,1,$0.99
,Keyswitches,https://www.aliexpress.us/item/3256808499657735.html ,1,$5.57
,Shells (3D printed),,1,N/A
,,,TOTAL,$59.59