,,QTY,PRICE
,Raspberry Pi: https://www.alibaba.com/product-detail/Original-Raspberry-Pi-Pico-Rp2040-Wireless_1601580150294.html,1,$8.90
,0.91 OLED: https://www.aliexpress.us/item/3256806882812437.html ,1,$2.75
,Keycaps:https://www.aliexpress.us/item/3256805298154159.html,1,$13.96
,Diodes: https://www.aliexpress.us/item/3256802153601411.html,1,$1.04
,Buttons: https://www.aliexpress.us/item/3256808426699412.html ,4,$3.01
,Stabillizers: https://www.aliexpress.us/item/3256807026554334.html,1,$0.99
,Capaciators: https://www.aliexpress.us/item/3256807473764027.html,1,$0.99
,LEDs; https://www.aliexpress.us/item/2255801159561004.html,1,$0.99
,Capacators: https://www.aliexpress.us/item/3256802104127109.html,1,$1.30
,PCB,1,$19.10
,Plate (3D Printed),1,N/A
,Magnets: https://www.aliexpress.us/item/3256811570240902.html,1,$0.99
,Shells (3D printed),1,N/A
,,TOTAL,$54.02